cest;descricao
17.102.01;Açúcar cristal adicionado de aromatizante ou de corante, em embalagens de conteúdo superior a 2 kg e inferior ou igual a 5 kg
17.102.02;Açúcar cristal adicionado de aromatizante ou de corante, em embalagens de conteúdo superior a 5 kg
17.103.00;Outros tipos de açúcar, em embalagens de conteúdo inferior ou igual a 2 kg, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g
17.103.01;Outros tipos de açúcar, em embalagens de conteúdo superior a 2 kg e inferior ou igual a 5 kg
17.103.02;Outros tipos de açúcar, em embalagens de conteúdo superior a 5 kg
17.104.00;Outros tipos de açúcar adicionado de aromatizante ou de corante, em embalagens de conteúdo inferior ou igual a 2 kg, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g
17.104.01;Outros tipos de açúcar adicionado de aromatizante ou de corante, em embalagens de conteúdo superior a 2 kg e inferior ou igual a 5 kg
17.104.02;Outros tipos de açúcar adicionado de aromatizante ou de corante, em embalagens de conteúdo superior a 5 kg
17.105.00;Outros açúcares em embalagens de conteúdo inferior ou igual a 2 kg, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g
17.105.01;Outros açúcares, em embalagens de conteúdo superior a 2 kg e inferior ou igual a 5 kg
17.105.02;Outros açúcares, em embalagens de conteúdo superior a 5 kg
17.106.00;Milho para pipoca (micro-ondas)
17.107.00;Extratos, essências e concentrados de café e preparações à base destes extratos, essências ou concentrados ou à base de café, em embalagens de conteúdo inferior ou igual a 500 g, exceto os classificados no CEST 17.107.01
17.107.01;Extratos, essências e concentrados de café e preparações à base destes extratos, essências ou concentrados ou à base de café, em cápsulas
17.108.00;Extratos, essências e concentrados de chá ou de mate e preparações à base destes extratos, essências ou concentrados ou à base de chá ou de mate, em embalagens de conteúdo inferior ou igual a 500 g, exceto as bebidas prontas à base de mate ou chá e os itens classificados no CEST 17.108.01
17.108.01;Extratos, essências e concentrados de chá ou de mate e preparações à base destes extratos, essências ou concentrados ou à base de chá ou de mate, em cápsulas
17.109.00;Preparações em pó para cappuccino e similares, em embalagens de conteúdo inferior ou igual a 500 g
17.110.00;Refrescos e outras bebidas prontas para beber à base de chá e mate
17.111.00;Refrescos e outras bebidas não alcoólicas, exceto os refrigerantes e as demais bebidas nos CEST 03.007.00 e 17.110.00
17.112.00;Néctares de frutas e outras bebidas não alcoólicas prontas para beber, exceto isotônicos e energéticos
17.113.00;Bebidas prontas à base de mate ou chá
17.114.00;Bebidas prontas à base de café
17.115.00;Bebidas alimentares prontas à base de soja, leite ou cacau, inclusive os produtos denominados bebidas lácteas
19.001.00;Tinta guache
19.002.00;Espiral - perfil para encadernação, de plástico e outros materiais classificados nas posições 3901 a 3914
19.003.00;Outros espirais - perfil para encadernação, de plástico e outros materiais classificados nas posições 3901 a 3914
19.004.00;Artigos de escritório e artigos escolares de plástico e outros materiais classificados nas posições 3901 a 3914, exceto estojos
19.005.00;Maletas e pastas para documentos e de estudante, e artefatos semelhantes
19.005.01;Baús, malas e maletas para viagem
19.006.00;Prancheta de plástico
19.007.00;Bobina para fax
19.008.00;Papel seda
19.009.00;Bobina para máquina de calcular, PDV ou equipamentos similares
19.010.00;"Cartolina escolar e papel cartão, brancos e coloridos; recados auto adesivos (LP note); papéis de presente, todos cortados em tamanho pronto para uso escolar e doméstico"
19.011.00;Papel fotográfico, exceto: (i) os papéis fotográficos emulsionados com haleto de prata tipo brilhante, matte ou lustre, em rolo e, com largura igual ou superior a 102 mm e comprimento inferior ou igual a 350 m, (ii) os papéis fotográficos emulsionados com haleto de prata tipo brilhante ou fosco, em folha e com largura igual ou superior a 152 mm e comprimento inferior ou igual a 307 mm, (iii) papel de qualidade fotográfica com tecnologia 'Thermo-autochrome', que submetido a um processo de aquecimento seja capaz de formar imagens por reação química e combinação das camadas cyan, magenta e amarela
19.012.00;Papel almaço
19.013.00;Papel hectográfico
19.014.00;Papel celofane e tipo celofane
19.015.00;Papel impermeável
19.016.00;Papel crepon
19.017.00;Papel fantasia
19.018.00;Papel-carbono, papel autocopiativo (exceto os vendidos em rolos de diâmetro igual ou superior a 60 cm e os vendidos em folhas de formato igual ou superior a 60 cm de altura e igual ou superior a 90 cm de largura) e outros papéis para cópia ou duplicação (incluídos os papéis para estênceis ou para chapas ofsete), estênceis completos e chapas ofsete, de papel, em folhas, mesmo acondicionados em caixas
19.019.00;Envelopes, aerogramas, bilhetes-postais não ilustrados e cartões para correspondência, de papel ou cartão, caixas, sacos e semelhantes, de papel ou cartão, contendo um sortido de artigos para correspondência
19.020.00;Livros de registro e de contabilidade, blocos de notas, de encomendas, de recibos, de apontamentos, de papel para cartas, agendas e artigos semelhantes
19.021.00;Cadernos
19.022.00;Classificadores, capas para encadernação (exceto as capas para livros) e capas de processos
19.023.00;Formulários em blocos tipo 'manifold', mesmo com folhas intercaladas de papel-carbono
19.024.00;Álbuns para amostras ou para coleções
19.025.00;Pastas para documentos, outros artigos escolares, de escritório ou de papelaria, de papel ou cartão e capas para livros, de papel ou cartão
19.026.00;Cartões postais impressos ou ilustrados, cartões impressos com votos ou mensagens pessoais, mesmo ilustrados, com ou sem envelopes, guarnições ou aplicações (conhecidos como cartões de expressão social - de época/sentimento)
19.027.00;Canetas esferográficas
19.028.00;Canetas e marcadores, com ponta de feltro ou com outras pontas porosas
19.029.00;Canetas tinteiro
19.030.00;"Outras canetas; sortidos de canetas"
19.031.00;Papel cortado 'cutsize' (tipo A3, A4, ofício I e II, carta e outros)
19.032.00;Papel camurça
19.033.00;Papel laminado e papel espelho
20.001.00;Henna (embalagens de conteúdo inferior ou igual a 200 g)
20.001.01;Henna (embalagens de conteúdo superior a 200 g)
20.002.00;Vaselina
20.003.00;Amoníaco em solução aquosa (amônia)
20.004.00;Peróxido de hidrogênio, em embalagens de conteúdo inferior ou igual a 500 ml
20.005.00;Lubrificação íntima
20.006.00;"Óleos essenciais (desterpenados ou não), incluídos os chamados 'concretos' ou 'absolutos'; resinoides; oleorresinas de extração; soluções concentradas de óleos essenciais em gorduras, em óleos fixos, em ceras ou em matérias análogas, obtidas por tratamento de flores através de substâncias gordas ou por maceração; subprodutos terpênicos residuais da desterpenação dos óleos essenciais; águas destiladas aromáticas e soluções aquosas de óleos essenciais, em embalagens de conteúdo inferior ou igual a 500 ml"
20.007.00;Perfumes (extratos)
20.008.00;Águas-de-colônia
20.009.00;Produtos de maquilagem para os lábios
20.010.00;Sombra, delineador, lápis para sobrancelhas e rímel
20.011.00;Outros produtos de maquilagem para os olhos
20.012.00;Preparações para manicuros e pedicuros, incluindo removedores de esmalte à base de acetona
20.013.00;Pós, incluídos os compactos, para maquilagem
20.014.00;Cremes de beleza, cremes nutritivos e loções tônicas
20.015.00;Outros produtos de beleza ou de maquilagem preparados e preparações para conservação ou cuidados da pele, exceto as preparações solares e antissolares
20.016.00;Preparações solares e antissolares
20.017.00;Xampus para o cabelo
20.018.00;Preparações para ondulação ou alisamento, permanentes, dos cabelos
20.019.00;Laquês para o cabelo
20.020.00;Outras preparações capilares, incluindo máscaras e finalizadores
20.021.00;Condicionadores
20.022.00;Tintura para o cabelo
20.023.00;Dentifrícios
20.024.00;Fios utilizados para limpar os espaços interdentais (fios dentais)
20.025.00;Outras preparações para higiene bucal ou dentária
20.026.00;Preparações para barbear (antes, durante ou após)
20.027.00;Desodorantes (desodorizantes) corporais líquidos
20.028.00;Antiperspirantes líquidos
20.029.00;Outros desodorantes (desodorizantes) corporais
20.030.00;Outros antiperspirantes
20.031.00;Sais perfumados e outras preparações para banhos
20.032.00;Outros produtos de perfumaria preparados
20.032.01;Outros produtos de toucador preparados
20.033.00;Soluções para lentes de contato ou para olhos artificiais
20.034.00;Sabões de toucador em barras, pedaços ou figuras moldados
20.035.00;Outros sabões, produtos e preparações, em barras, pedaços ou figuras moldados, inclusive lenços umedecidos
20.036.00;Sabões de toucador sob outras formas
20.037.00;Produtos e preparações orgânicos tensoativos para lavagem da pele, na forma de líquido ou de creme, acondicionados para venda a retalho, mesmo contendo sabão
20.038.00;Bolsa para gelo ou para água quente
20.039.00;Chupetas e bicos para mamadeiras e para chupetas, de borracha
20.040.00;Chupetas e bicos para mamadeiras e para chupetas, de silicone
20.041.00;Malas e maletas de toucador
20.042.00;Papel higiênico - folha simples
20.043.00;Papel higiênico - folha dupla e tripla
20.044.00;Lenços (incluídos os de maquilagem) e toalhas de mão
20.045.00;Papel toalha de uso institucional do tipo comercializado em rolos igual ou superior a 80 metros e do tipo comercializado em folhas intercaladas
20.046.00;Toalhas e guardanapos de mesa
20.047.00;Toalhas de cozinha (papel toalha de uso doméstico)
20.048.00;Fraldas
20.049.00;Tampões higiênicos
20.050.00;Absorventes higiênicos externos
20.051.00;Hastes flexíveis (uso não medicinal)
20.052.00;Sutiã descartável, assemelhados e papel para depilação
20.053.00;Pinças para sobrancelhas
20.054.00;Espátulas (artigos de cutelaria)
20.055.00;Utensílios e sortidos de utensílios de manicuros ou de pedicuros (incluídas as limas para unhas)
20.056.00;Termômetros, inclusive o digital
20.057.00;Escovas e pincéis de barba, escovas para cabelos, para cílios ou para unhas e outras escovas de toucador de pessoas, incluídas as que sejam partes de aparelhos, exceto escovas de dentes
20.058.00;Escovas de dentes, incluídas as escovas para dentaduras
20.059.00;Pincéis para aplicação de produtos cosméticos
20.060.00;Sortidos de viagem, para toucador de pessoas para costura ou para limpeza de calçado ou de roupas
20.061.00;"Pentes, travessas para cabelo e artigos semelhantes; grampos (alfinetes) para cabelo; pinças (pinceguiches), onduladores, bobes (rolos) e artefatos semelhantes para penteados, e suas partes, exceto os classificados na posição 8516 e suas partes"
20.062.00;Borlas ou esponjas para pós ou para aplicação de outros cosméticos ou de produtos de toucador
20.063.00;Mamadeiras
20.064.00;Aparelhos e lâminas de barbear
21.001.00;Fogões de cozinha de uso doméstico e suas partes
21.002.00;Combinações de refrigeradores e congeladores ('freezers'), munidos de portas exteriores separadas
21.003.00;Refrigeradores do tipo doméstico, de compressão
21.004.00;Outros refrigeradores do tipo doméstico
21.005.00;Congeladores ('freezers') horizontais tipo arca, de capacidade não superior a 800 litros
21.006.00;Congeladores ('freezers') verticais tipo armário, de capacidade não superior a 900 litros
21.007.00;Outros móveis (arcas, armários, vitrines, balcões e móveis semelhantes) para a conservação e exposição de produtos, que incorporem um equipamento para a produção de frio
21.008.00;Mini adega e similares
21.009.00;Máquinas para produção de gelo
21.010.00;Partes dos refrigeradores, congeladores, mini adegas e similares, máquinas para produção de gelo e bebedouros descritos nos CEST 21.002.00, 21.003.00, 21.004.00, 21.005.00, 21.006.00, 21.007.00, 21.008.00, 21.009.00 e 21.013.00
21.011.00;Secadoras de roupa de uso doméstico
21.012.00;Outras secadoras de roupas e centrífugas de uso doméstico
21.013.00;Bebedouros refrigerados para água
21.014.00;Partes das secadoras de roupas e centrífugas de uso doméstico e dos aparelhos para filtrar ou depurar água, descritos nos CEST 21.011.00 e 21.012.00 e 21.098.00
21.015.00;Máquinas de lavar louça do tipo doméstico e suas partes
21.016.00;Máquinas que executem pelo menos duas das seguintes funções: impressão, cópia ou transmissão de telecópia (fax), capazes de ser conectadas a uma máquina automática para processamento de dados ou a uma rede
21.017.00;Outras impressoras, máquinas copiadoras e telecopiadores (fax), mesmo combinados entre si, capazes de ser conectados a uma máquina automática para processamento de dados ou a uma rede
21.018.00;"Partes e acessórios de máquinas e aparelhos de impressão por meio de blocos, cilindros e outros elementos de impressão da posição 8442; e de outras impressoras, máquinas copiadoras e telecopiadores (fax), mesmo combinados entre si"
21.019.00;Máquinas de lavar roupa, mesmo com dispositivos de secagem, de uso doméstico, de capacidade não superior a 10 kg, em peso de roupa seca, inteiramente automáticas
21.020.00;Outras máquinas de lavar roupa, mesmo com dispositivos de secagem, de uso doméstico, com secador centrífugo incorporado
21.021.00;Outras máquinas de lavar roupa, mesmo com dispositivos de secagem, de uso doméstico
21.022.00;Máquinas de lavar roupa, mesmo com dispositivos de secagem, de uso doméstico, de capacidade superior a 10 kg, em peso de roupa seca
21.023.00;Partes de máquinas de lavar roupa, mesmo com dispositivos de secagem, de uso doméstico
21.024.00;Máquinas de secar de uso doméstico de capacidade não superior a 10 kg, em peso de roupa seca
21.025.00;Outras máquinas de secar de uso doméstico
21.026.00;Partes de máquinas de secar de uso doméstico
21.027.00;Máquinas de costura de uso doméstico
21.028.00;Máquinas automáticas para processamento de dados, portáteis, de peso não superior a 10 kg, contendo pelo menos uma unidade central de processamento, um teclado e uma tela
21.029.00;Outras máquinas automáticas para processamento de dados
21.030.00;"Unidades de processamento, de pequena capacidade, exceto as das subposições 8471.41 ou 8471.49, podendo conter, no mesmo corpo, um ou dois dos seguintes tipos de unidades: unidade de memória, unidade de entrada e unidade de saída; baseadas em microprocessadores, com capacidade de instalação, dentro do mesmo gabinete, de unidades de memória da subposição 8471.70, podendo conter múltiplos conectores de expansão ('slots'), e valor FOB inferior ou igual a US$ 12.500,00, por unidade"
21.031.00;Unidades de entrada, exceto as classificadas no código 8471.60.54
21.032.00;Outras unidades de entrada ou de saída, podendo conter, no mesmo corpo, unidades de memória
21.033.00;Unidades de memória
21.034.00;"Outras máquinas automáticas para processamento de dados e suas unidades; leitores magnéticos ou ópticos, máquinas para registrar dados em suporte sob forma codificada, e máquinas para processamento desses dados, não especificadas nem compreendidas em outras posições"
21.035.00;Partes e acessórios das máquinas da posição 84.71
21.036.00;Outros transformadores, exceto os classificados nos códigos 8504.33.00 e 8504.34.00
21.037.00;Carregadores de acumuladores
21.038.00;Equipamentos de alimentação ininterrupta de energia (UPS ou 'no break')
21.039.00;Outros acumuladores
21.040.00;Aspiradores
21.041.00;Aparelhos eletromecânicos de motor elétrico incorporado, de uso doméstico e suas partes
21.042.00;Enceradeiras
21.043.00;Chaleiras elétricas
21.044.00;Ferros elétricos de passar
21.045.00;Fornos de micro-ondas
21.046.00;"Outros fornos; fogareiros (incluídas as chapas de cocção), grelhas e assadeiras, exceto os portáteis"
21.047.00;"Outros fornos; fogareiros (incluídas as chapas de cocção), grelhas e assadeiras, portáteis"
21.048.00;Outros aparelhos eletrotérmicos de uso doméstico - Cafeteiras
21.049.00;Outros aparelhos eletrotérmicos de uso doméstico - Torradeiras
21.050.00;Outros aparelhos eletrotérmicos de uso doméstico
21.051.00;Partes das chaleiras, ferros, fornos e outros aparelhos eletrotérmicos da posição 85.16, descritos nos CEST 21.043.00, 21.044.00, 21.045.00, 21.046.00, 21.047.00, 21.048.00, 21.049.00 e 21.050.00
21.052.00;Aparelhos telefônicos por fio com unidade auscultador - microfone sem fio
21.053.00;Telefones para redes celulares, exceto por satélite, os de uso automotivo e os classificados no CEST 21.053.01
21.053.01;Telefones para redes celulares portáteis, exceto por satélite
21.054.00;Outros telefones para outras redes sem fio, exceto para redes de celulares e os de uso automotivo
21.055.00;Outros aparelhos telefônicos não combinados com outros aparelhos
21.055.01;Outros aparelhos telefônicos
21.056.00;Aparelhos para transmissão ou recepção de voz, imagem ou outros dados em rede com fio, exceto os classificados nos códigos 8517.62.51, 8517.62.52 e 8517.62.53
21.057.00;"Microfones e seus suportes; alto-falantes, mesmo montados nos seus receptáculos, fones de ouvido (auscultadores), mesmo combinados com microfone e conjuntos ou sortidos constituídos por um microfone e um ou mais alto-falantes, amplificadores elétricos de audiofrequência, aparelhos elétricos de amplificação de som; suas partes e acessórios; exceto os de uso automotivo"
21.058.00;"Aparelhos de radiodifusão suscetíveis de funcionarem sem fonte externa de energia. Aparelhos de gravação de som; aparelhos de reprodução de som; aparelhos de gravação e de reprodução de som; partes e acessórios; exceto os de uso automotivo"
21.059.00;"Outros aparelhos de gravação de som; aparelhos de reprodução de som; aparelhos de gravação e de reprodução de som; partes e acessórios; exceto os de uso automotivo"
21.060.00;Gravador-reprodutor e editor de imagem e som, em discos, por meio magnético, óptico ou optomagnético, exceto de uso automotivo
21.061.00;Outros aparelhos videofônicos de gravação ou reprodução, mesmo incorporando um receptor de sinais videofônicos, exceto os de uso automotivo
21.062.00;Cartões de memória ('memory cards')
21.063.00;Cartões inteligentes ('smart cards')
21.064.00;Cartões inteligentes ('sim cards')
21.065.00;Câmeras fotográficas digitais e câmeras de vídeo e suas partes
21.066.00;Outros aparelhos receptores para radiodifusão, mesmo combinados num invólucro, com um aparelho de gravação ou de reprodução de som, ou com um relógio, inclusive caixa acústica para Home Theaters classificados na posição 8518
21.067.00;Monitores e projetores que não incorporem aparelhos receptores de televisão, policromáticos
21.067.01;Projetores capazes de serem conectados diretamente a uma máquina automática para processamento de dados da posição 84.71 e concebidos para serem utilizados com esta máquina
21.068.00;Outros monitores capazes de serem conectados diretamente a uma máquina automática para processamento de dados da posição 84.71 e concebidos para serem utilizados com esta máquina, policromáticos
21.069.00;Aparelhos receptores de televisão, mesmo que incorporem um aparelho receptor de radiodifusão ou um aparelho de gravação ou reprodução de som ou de imagens - Televisores de CRT (tubo de raios catódicos)
21.070.00;Aparelhos receptores de televisão, mesmo que incorporem um aparelho receptor de radiodifusão ou um aparelho de gravação ou reprodução de som ou de imagens - Televisores de LCD (Display de Cristal Líquido)
21.071.00;Aparelhos receptores de televisão, mesmo que incorporem um aparelho receptor de radiodifusão ou um aparelho de gravação ou reprodução de som ou de imagens - Televisores de Plasma
21.072.00;Outros aparelhos receptores de televisão não dotados de monitores ou display de vídeo
21.073.00;Outros aparelhos receptores de televisão não relacionados nos CEST 21.069.00, 21.070.00, 21.071.00 e 21.072.00
21.074.00;Câmeras fotográficas dos tipos utilizadas para preparação de clichês ou cilindros de impressão
21.075.00;Câmeras fotográficas para filmes de revelação e copiagem instantâneas
21.076.00;Aparelhos de diatermia
21.077.00;Aparelhos de massagem
21.078.00;Reguladores de voltagem eletrônicos
21.079.00;Consoles e máquinas de jogos de vídeo, exceto os classificados na subposição 9504.30
21.080.00;Multiplexadores e concentradores
21.081.00;Centrais automáticas privadas, de capacidade inferior ou igual a 25 ramais
21.082.00;Outros aparelhos para comutação
21.083.00;Roteadores digitais, em redes com ou sem fio
21.084.00;Aparelhos emissores com receptor incorporado de sistema troncalizado ('trunking'), de tecnologia celular
21.085.00;Outros aparelhos de recepção, conversão e transmissão ou regeneração de voz, imagens ou outros dados, incluindo os aparelhos de comutação e roteamento
21.086.00;Antenas próprias para telefones celulares portáteis, exceto as telescópicas
21.087.00;Aparelhos ou máquinas de barbear, máquinas de cortar o cabelo ou de tosquiar e aparelhos de depilar, e suas partes
21.088.00;Ventiladores, exceto os de uso agrícola
21.089.00;Ventiladores de uso agrícola
21.090.00;Coifas com dimensão horizontal máxima não superior a 120 cm
21.091.00;Partes de ventiladores ou coifas aspirantes
21.092.00;Máquinas e aparelhos de ar condicionado contendo um ventilador motorizado e dispositivos próprios para modificar a temperatura e a umidade, incluídos as máquinas e aparelhos em que a umidade não seja regulável separadamente
21.093.00;Aparelhos de ar-condicionado tipo Split System (sistema com elementos separados) com unidade externa e interna
21.094.00;Aparelhos de ar-condicionado com capacidade inferior ou igual a 30.000 frigorias/hora
21.095.00;Aparelhos de ar-condicionado com capacidade acima de 30.000 frigorias/hora
21.096.00;Unidades evaporadoras (internas) de aparelho de ar-condicionado do tipo Split System (sistema com elementos separados), com capacidade inferior ou igual a 30.000 frigorias/hora
21.097.00;Unidades condensadoras (externas) de aparelho de ar-condicionado do tipo Split System (sistema com elementos separados), com capacidade inferior ou igual a 30.000 frigorias/hora
21.098.00;Aparelhos elétricos para filtrar ou depurar água (purificadores de água refrigerados), exceto os itens classificados no CEST 21.098.01
21.098.01;Outros aparelhos elétricos para filtrar ou depurar água
21.099.00;Lavadora de alta pressão e suas partes
21.100.00;Furadeiras elétricas
21.101.00;Aparelhos elétricos para aquecimento de ambientes
21.102.00;Secadores de cabelo
21.103.00;Outros aparelhos para arranjos do cabelo
21.104.00;Aparelhos receptores para radiodifusão, mesmo combinados num mesmo invólucro, com um aparelho de gravação ou de reprodução de som, ou com um relógio, exceto os classificados na posição 8527.1, 8527.2 e 8527.9 que sejam de uso automotivo
21.105.00;Climatizadores de ar
21.106.00;Outras partes para máquinas e aparelhos de ar-condicionado que contenham um ventilador motorizado e dispositivos próprios para modificar a temperatura e a umidade, incluindo as máquinas e aparelhos em que a umidade não seja regulável separadamente
21.107.00;Câmeras de televisão e suas partes
21.108.00;Balanças de uso doméstico
21.109.00;Tubos e válvulas, eletrônicos, de cátodo quente, cátodo frio ou fotocátodo (por exemplo, tubos e válvulas, de vácuo, de vapor ou de gás, ampolas retificadoras de vapor de mercúrio, tubos catódicos, tubos e válvulas para câmeras de televisão)
21.110.00;"Aparelhos elétricos para telefonia; outros aparelhos para transmissão ou recepção de voz, imagens ou outros dados, incluídos os aparelhos para comunicação em redes por fio ou redes sem fio (tal como uma rede local (LAN) ou uma rede de área estendida (WAN), incluídas suas partes, exceto os de uso automotivo e os classificados nos códigos 8517.62.51, 8517.62.52 e 8517.62.53"
21.111.00;Interfones, seus acessórios, tomadas e 'plugs'
21.112.00;"Partes reconhecíveis como exclusiva ou principalmente destinadas aos aparelhos das posições 8525 a 8528; exceto as de uso automotivo"
21.113.00;"Aparelhos elétricos de sinalização acústica ou visual (por exemplo, campainhas, sirenes, quadros indicadores, aparelhos de alarme para proteção contra roubo ou incêndio); exceto os de uso automotivo e os classificados nas posições 8531.10 e 8531.80.00."
21.114.00;Aparelhos elétricos de alarme, para proteção contra roubo ou incêndio e aparelhos semelhantes, exceto os de uso automotivo
21.115.00;Outros aparelhos de sinalização acústica ou visual, exceto os de uso automotivo
21.116.00;Circuitos impressos, exceto os de uso automotivo
21.117.00;Diodos emissores de luz (LED), exceto diodos 'laser'
21.118.00;Eletrificadores de cercas eletrônicos
21.119.00;"Aparelhos e instrumentos para medida ou controle da tensão, intensidade, resistência ou da potência, sem dispositivo registrador; exceto os de uso automotivo"
21.120.00;Analisadores lógicos de circuitos digitais, de espectro de frequência, frequencímetros, fasímetros, e outros instrumentos e aparelhos de controle de grandezas elétricas e detecção
21.121.00;Interruptores horários e outros aparelhos que permitam acionar um mecanismo em tempo determinado, munidos de maquinismo de aparelhos de relojoaria ou de motor síncrono
21.122.00;"Aparelhos de iluminação (incluídos os projetores) e suas partes, não especificados nem compreendidos em outras posições; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes, contendo uma fonte luminosa fixa permanente, e suas partes não especificadas nem compreendidas em outras posições, com exceção dos itens classificados nos CEST 21.123.00, 21.124.00 e 21.125.00"
21.123.00;"Lustres e outros aparelhos elétricos de iluminação, próprios para serem suspensos ou fixados no teto ou na parede, exceto os dos tipos utilizados na iluminação pública; e suas partes"
21.124.00;Abajures de cabeceiras, de escritório e lampadários de interior, elétricos e suas partes
21.125.00;Outros aparelhos elétricos de iluminação e suas partes
21.126.00;Microprocessador
22.001.00;Ração tipo 'pet' para animais domésticos
23.001.00;Sorvetes de qualquer espécie
23.002.00;Preparados para fabricação de sorvete em máquina
24.001.00;Tintas, vernizes
24.002.00;Xadrez e pós assemelhados, exceto pigmentos à base de dióxido de titânio classificados no código 3206.11.19
24.003.00;Corantes para aplicação em bases, tintas e vernizes
25.001.00;Veículos automóveis para transporte de 10 pessoas ou mais, incluindo o motorista, com motor de pistão, de ignição por compressão (diesel ou semidiesel), com volume interno de habitáculo, destinado a passageiros e motorista, superior a 6 m³, mas inferior a 9 m³
25.002.00;Outros veículos automóveis para transporte de 10 pessoas ou mais, incluindo o motorista, com volume interno de habitáculo, destinado a passageiros e motorista, superior a 6 m³, mas inferior a 9 m³
25.003.00;Automóveis com motor explosão, de cilindrada não superior a 1000 cm³
25.004.00;Automóveis com motor explosão, de cilindrada superior a 1000 cm³, mas não superior a 1500 cm³, com capacidade de transporte de pessoas sentadas inferior ou igual a 6, incluído o condutor, exceto carro celular
25.005.00;Outros automóveis com motor explosão, de cilindrada superior a 1000 cm³, mas não superior a 1500 cm³, exceto carro celular
25.006.00;Automóveis com motor explosão, de cilindrada superior a 1500 cm³, mas não superior a 3000 cm³, com capacidade de transporte de pessoas sentadas inferior ou igual a 6, incluído o condutor, exceto carro celular, carro funerário e automóveis de corrida
25.007.00;Outros automóveis com motor explosão, de cilindrada superior a 1500 cm³, mas não superior a 3000 cm³, exceto carro celular, carro funerário e automóveis de corrida
25.008.00;Automóveis com motor explosão, de cilindrada superior a 3000 cm³, com capacidade de transporte de pessoas sentadas inferior ou igual a 6, incluído o condutor, exceto carro celular, carro funerário e automóveis de corrida
25.009.00;Outros automóveis com motor explosão, de cilindrada superior a 3000 cm³, exceto carro celular, carro funerário e automóveis de corrida
25.010.00;Automóveis com motor diesel ou semidiesel, de cilindrada superior a 1500 cm³, mas não superior a 2500 cm³, com capacidade de transporte de pessoas sentadas inferior ou igual a 6, incluído o condutor, exceto ambulância, carro celular e carro funerário
25.011.00;Outros automóveis com motor diesel ou semidiesel, de cilindrada superior a 1500 cm³, mas não superior a 2500 cm³, exceto ambulância, carro celular e carro funerário
25.012.00;Automóveis com motor diesel ou semidiesel, de cilindrada superior a 2500 cm³, com capacidade de transporte de pessoas sentadas inferior ou igual a 6, incluído o condutor, exceto carro celular e carro funerário
25.013.00;Outros automóveis com motor diesel ou semidiesel, de cilindrada superior a 2500 cm³, exceto carro celular e carro funerário
25.014.00;Veículos automóveis para transporte de mercadorias, de peso em carga máxima não superior a 5 toneladas, chassis com motor diesel ou semidiesel e cabina, exceto caminhão de peso em carga máxima superior a 3,9 toneladas
25.015.00;Veículos automóveis para transporte de mercadorias, de peso em carga máxima não superior a 5 toneladas, com motor diesel ou semidiesel, com caixa basculante, exceto caminhão de peso em carga máxima superior a 3,9 toneladas
25.016.00;Veículos automóveis para transporte de mercadorias, de peso em carga máxima não superior a 5 toneladas, frigoríficos ou isotérmicos, com motor diesel ou semidiesel, exceto caminhão de peso em carga máxima superior a 3,9 toneladas
25.017.00;Outros veículos automóveis para transporte de mercadorias, de peso em carga máxima não superior a 5 toneladas, com motor diesel ou semidiesel, exceto carro-forte para transporte de valores e caminhão de peso em carga máxima superior a 3,9 toneladas
25.018.00;Veículos automóveis para transporte de mercadorias, de peso em carga máxima não superior a 5 toneladas, com motor a explosão, chassis e cabina, exceto caminhão de peso em carga máxima superior a 3,9 toneladas
25.019.00;Veículos automóveis para transporte de mercadorias, de peso em carga máxima não superior a 5 toneladas, com motor explosão com caixa basculante, exceto caminhão de peso em carga máxima superior a 3,9 toneladas
25.020.00;Veículos automóveis para transporte de mercadorias, de peso em carga máxima não superior a 5 toneladas, frigoríficos ou isotérmicos com motor explosão, exceto caminhão de peso em carga máxima superior a 3,9 toneladas
25.021.00;Outros veículos automóveis para transporte de mercadorias, de peso em carga máxima não superior a 5 toneladas, com motor a explosão, exceto carro-forte para transporte de valores e caminhão de peso em carga máxima superior a 3,9 toneladas
26.001.00;"Motocicletas (incluídos os ciclomotores) e outros ciclos equipados com motor auxiliar, mesmo com carro lateral; carros laterais"
28.001.00;Perfumes (extratos)
28.002.00;Águas-de-colônia
28.003.00;Produtos de maquiagem para os lábios
28.004.00;Sombra, delineador, lápis para sobrancelhas e rímel
28.005.00;Outros produtos de maquiagem para os olhos
28.006.00;Preparações para manicuros e pedicuros
28.007.00;Pós para maquiagem, incluindo os compactos
28.008.00;Cremes de beleza, cremes nutritivos e loções tônicas
28.009.00;Outros produtos de beleza ou de maquiagem preparados e preparações para conservação ou cuidados da pele, exceto as preparações antissolares e os bronzeadores
28.010.00;Preparações antissolares e os bronzeadores
28.011.00;Xampus para o cabelo
28.012.00;Preparações para ondulação ou alisamento, permanentes, dos cabelos
28.013.00;Outras preparações capilares
28.014.00;Tintura para o cabelo
28.015.00;Preparações para barbear (antes, durante ou após)
28.016.00;Desodorantes corporais e antiperspirantes, líquidos
28.017.00;Outros desodorantes corporais e antiperspirantes
